Cities,Impersonation,Fondling,Pornography/Obscene Material,All Other Larceny,Theft of Motor Vehicle Parts or Accessories,Theft From Motor Vehicle,Simple Assault,Burglary/Breaking & Entering,Destruction/Damage/Vandalism of Property,Intimidation,Wire Fraud,Aggravated Assault,Drug/Narcotic Violations,Shoplifting,Weapon Law Violations,Motor Vehicle Theft,False Pretenses/Swindle/Confidence Game,Credit Card/Automated Teller Machine Fraud,Stolen Property Offenses,Statutory Rape,Theft From Building,Sodomy,Embezzlement,Counterfeiting/Forgery,Robbery,Drug Equipment Violations,Identity Theft,Rape,Kidnapping/Abduction,Sexual Assault With An Object,Murder and Nonnegligent Manslaughter,Animal Cruelty,Arson,Purchasing Prostitution,Extortion/Blackmail,Pocket-picking,Purse-snatching,Hacking/Computer Invasion,"Human Trafficking, Commercial Sex Acts",Assisting or Promoting Prostitution,Incest,Prostitution,Bribery,"Human Trafficking, Involuntary Servitude",Operating/Promoting/Assisting Gambling,Welfare Fraud,Negligent Manslaughter,Theft From Coin-Operated Machine or Device,Gambling Equipment Violation,Betting/Wagering,Total
TAUNTON,8.0,9.0,4.0,131.0,0.0,31.0,243.0,89.0,143.0,42.0,0.0,170.0,165.0,51.0,29.0,25.0,28.0,4.0,25.0,11.0,43.0,7.0,0.0,19.0,35.0,0.0,0.0,13.0,3.0,0.0,0.0,0.0,3.0,0.0,1.0,4.0,5.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1345.0
WESTPORT,16.0,0.0,1.0,50.0,5.0,22.0,47.0,42.0,61.0,16.0,0.0,19.0,16.0,5.0,4.0,7.0,19.0,3.0,8.0,4.0,7.0,1.0,1.0,4.0,2.0,0.0,4.0,6.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,375.0
AMESBURY,12.0,0.0,7.0,72.0,0.0,16.0,60.0,19.0,76.0,16.0,0.0,21.0,24.0,9.0,3.0,8.0,20.0,6.0,8.0,10.0,23.0,1.0,0.0,10.0,2.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,439.0
BEVERLY,23.0,1.0,2.0,125.0,4.0,41.0,24.0,25.0,101.0,27.0,15.0,30.0,15.0,13.0,0.0,11.0,18.0,25.0,0.0,1.0,30.0,0.0,0.0,4.0,3.0,8.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,554.0
DANVERS,19.0,7.0,3.0,35.0,10.0,49.0,151.0,54.0,96.0,47.0,3.0,35.0,21.0,208.0,7.0,16.0,44.0,46.0,4.0,1.0,46.0,0.0,13.0,18.0,6.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,955.0
GEORGETOWN,8.0,1.0,2.0,21.0,0.0,3.0,17.0,8.0,21.0,3.0,0.0,2.0,7.0,1.0,2.0,1.0,10.0,7.0,0.0,0.0,11.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.0
GLOUCESTER,16.0,6.0,1.0,77.0,0.0,18.0,150.0,26.0,112.0,35.0,0.0,57.0,61.0,30.0,5.0,15.0,31.0,19.0,7.0,2.0,44.0,0.0,6.0,18.0,3.0,0.0,0.0,8.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,754.0
GROVELAND,1.0,0.0,0.0,4.0,0.0,8.0,5.0,2.0,11.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0
HAMILTON,9.0,0.0,1.0,7.0,0.0,0.0,4.0,7.0,18.0,2.0,0.0,2.0,2.0,1.0,0.0,1.0,15.0,1.0,2.0,1.0,11.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0
HAVERHILL,1.0,1.0,8.0,434.0,5.0,137.0,529.0,176.0,391.0,172.0,0.0,256.0,190.0,88.0,67.0,97.0,103.0,39.0,0.0,1.0,29.0,0.0,0.0,37.0,32.0,0.0,0.0,18.0,9.0,0.0,2.0,0.0,3.0,0.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2838.0
