Cities,Impersonation,Fondling,Pornography/Obscene Material,All Other Larceny,Theft of Motor Vehicle Parts or Accessories,Theft From Motor Vehicle,Simple Assault,Burglary/Breaking & Entering,Destruction/Damage/Vandalism of Property,Intimidation,Wire Fraud,Aggravated Assault,Drug/Narcotic Violations,Shoplifting,Weapon Law Violations,Motor Vehicle Theft,False Pretenses/Swindle/Confidence Game,Credit Card/Automated Teller Machine Fraud,Stolen Property Offenses,Statutory Rape,Theft From Building,Sodomy,Embezzlement,Counterfeiting/Forgery,Robbery,Drug Equipment Violations,Identity Theft,Rape,Kidnapping/Abduction,Sexual Assault With An Object,Murder and Nonnegligent Manslaughter,Animal Cruelty,Arson,Purchasing Prostitution,Extortion/Blackmail,Pocket-picking,Purse-snatching,Hacking/Computer Invasion,"Human Trafficking, Commercial Sex Acts",Assisting or Promoting Prostitution,Incest,Prostitution,Bribery,"Human Trafficking, Involuntary Servitude",Operating/Promoting/Assisting Gambling,Welfare Fraud,Negligent Manslaughter,Theft From Coin-Operated Machine or Device,Gambling Equipment Violation,Betting/Wagering,Total
PALMER,3.0,2.0,3.0,50.0,0.0,7.0,105.0,16.0,70.0,21.0,0.0,40.0,49.0,10.0,12.0,11.0,21.0,1.0,3.0,0.0,7.0,0.0,1.0,10.0,4.0,0.0,0.0,5.0,5.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,462.0
SOUTHWICK,16.0,0.0,0.0,41.0,0.0,0.0,27.0,16.0,45.0,8.0,0.0,13.0,8.0,8.0,5.0,3.0,6.0,5.0,1.0,5.0,3.0,0.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,217.0
SPRINGFIELD,195.0,77.0,27.0,674.0,293.0,757.0,2686.0,908.0,1955.0,1163.0,37.0,806.0,506.0,410.0,451.0,434.0,227.0,287.0,101.0,4.0,658.0,20.0,40.0,124.0,480.0,0.0,59.0,76.0,72.0,8.0,17.0,1.0,20.0,7.0,35.0,52.0,9.0,1.0,0.0,6.0,0.0,17.0,2.0,0.0,1.0,0.0,0.0,16.0,0.0,0.0,13719.0
WALES,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0
WEST SPRINGFIELD,60.0,8.0,7.0,384.0,1.0,97.0,154.0,119.0,276.0,49.0,0.0,110.0,125.0,296.0,15.0,63.0,93.0,9.0,26.0,7.0,93.0,9.0,6.0,24.0,26.0,0.0,2.0,16.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0,9.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2105.0
WESTFIELD,42.0,12.0,5.0,154.0,0.0,44.0,153.0,82.0,150.0,19.0,0.0,74.0,34.0,45.0,5.0,28.0,57.0,20.0,11.0,3.0,149.0,4.0,1.0,27.0,8.0,0.0,0.0,10.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1150.0
WILBRAHAM,16.0,1.0,0.0,48.0,1.0,13.0,45.0,19.0,48.0,22.0,1.0,12.0,16.0,58.0,2.0,3.0,18.0,5.0,5.0,3.0,16.0,0.0,0.0,8.0,1.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,370.0
AMHERST,7.0,4.0,2.0,69.0,0.0,9.0,72.0,47.0,71.0,14.0,0.0,89.0,24.0,35.0,7.0,12.0,23.0,2.0,2.0,3.0,13.0,1.0,1.0,4.0,2.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,541.0
BELCHERTOWN,10.0,0.0,2.0,36.0,0.0,8.0,29.0,11.0,34.0,11.0,0.0,19.0,5.0,9.0,4.0,4.0,13.0,7.0,0.0,2.0,15.0,1.0,1.0,8.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,232.0
EASTHAMPTON,9.0,2.0,3.0,54.0,0.0,9.0,57.0,26.0,62.0,9.0,0.0,25.0,12.0,11.0,2.0,8.0,19.0,5.0,4.0,7.0,17.0,0.0,1.0,11.0,2.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,362.0
GRANBY,2.0,0.0,0.0,15.0,0.0,5.0,10.0,8.0,17.0,5.0,0.0,4.0,4.0,7.0,4.0,4.0,7.0,2.0,1.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0
HADLEY,15.0,3.0,0.0,51.0,2.0,8.0,28.0,10.0,30.0,22.0,0.0,26.0,8.0,37.0,7.0,2.0,25.0,9.0,4.0,0.0,9.0,1.0,2.0,6.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,315.0
HATFIELD,3.0,0.0,0.0,8.0,0.0,1.0,4.0,9.0,8.0,3.0,0.0,2.0,1.0,0.0,0.0,1.0,3.0,0.0,3.0,0.0,5.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0
NORTHAMPTON,27.0,11.0,6.0,78.0,13.0,44.0,188.0,110.0,158.0,29.0,0.0,76.0,67.0,157.0,10.0,16.0,57.0,8.0,15.0,7.0,128.0,6.0,3.0,32.0,7.0,0.0,0.0,17.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1279.0
PELHAM,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
SOUTH HADLEY,35.0,1.0,5.0,124.0,0.0,49.0,62.0,50.0,65.0,49.0,0.0,17.0,19.0,22.0,5.0,15.0,30.0,7.0,6.0,3.0,9.0,0.0,0.0,4.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,588.0
WARE,8.0,0.0,2.0,52.0,0.0,2.0,82.0,16.0,69.0,3.0,0.0,37.0,64.0,61.0,5.0,8.0,7.0,2.0,3.0,2.0,15.0,1.0,0.0,4.0,4.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,457.0
WILLIAMSBURG,3.0,0.0,0.0,11.0,0.0,2.0,6.0,13.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0
ARLINGTON,51.0,2.0,2.0,64.0,2.0,25.0,85.0,41.0,85.0,36.0,0.0,22.0,15.0,28.0,1.0,6.0,36.0,6.0,1.0,0.0,26.0,0.0,0.0,7.0,9.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,560.0
ASHLAND,22.0,0.0,0.0,34.0,0.0,8.0,17.0,8.0,16.0,23.0,0.0,15.0,5.0,22.0,1.0,9.0,29.0,0.0,4.0,2.0,11.0,2.0,0.0,7.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.0
AYER,12.0,0.0,2.0,43.0,1.0,4.0,77.0,10.0,49.0,24.0,0.0,26.0,6.0,4.0,4.0,9.0,12.0,4.0,2.0,1.0,2.0,0.0,1.0,6.0,4.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,313.0
BELMONT,44.0,0.0,0.0,95.0,0.0,0.0,31.0,52.0,26.0,8.0,0.0,4.0,1.0,8.0,0.0,9.0,30.0,0.0,0.0,1.0,14.0,0.0,0.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,334.0
BOXBOROUGH,1.0,0.0,0.0,13.0,0.0,1.0,12.0,1.0,9.0,3.0,0.0,3.0,7.0,0.0,3.0,1.0,12.0,1.0,5.0,1.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0
BURLINGTON,36.0,6.0,4.0,169.0,3.0,19.0,48.0,21.0,87.0,35.0,0.0,22.0,14.0,133.0,3.0,11.0,81.0,19.0,15.0,6.0,22.0,2.0,1.0,15.0,5.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,807.0
CAMBRIDGE,151.0,1.0,9.0,1026.0,12.0,241.0,530.0,255.0,389.0,307.0,0.0,219.0,79.0,228.0,42.0,112.0,299.0,42.0,49.0,2.0,175.0,0.0,1.0,58.0,102.0,0.0,0.0,27.0,3.0,0.0,0.0,0.0,7.0,0.0,19.0,102.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4491.0
CARLISLE,9.0,2.0,1.0,8.0,0.0,7.0,6.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0
CHELMSFORD,17.0,5.0,3.0,90.0,5.0,42.0,30.0,33.0,94.0,26.0,42.0,20.0,23.0,189.0,3.0,14.0,2.0,59.0,4.0,3.0,9.0,0.0,1.0,10.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,733.0
CONCORD,20.0,1.0,0.0,58.0,0.0,6.0,25.0,8.0,27.0,19.0,0.0,5.0,2.0,13.0,1.0,3.0,21.0,8.0,1.0,0.0,24.0,0.0,1.0,6.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,255.0
DRACUT,18.0,2.0,1.0,82.0,14.0,48.0,100.0,47.0,83.0,28.0,0.0,28.0,14.0,38.0,5.0,20.0,37.0,23.0,0.0,0.0,28.0,0.0,1.0,8.0,4.0,0.0,10.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648.0
DUNSTABLE,1.0,0.0,0.0,5.0,0.0,0.0,5.0,6.0,7.0,0.0,0.0,2.0,10.0,0.0,3.0,1.0,3.0,0.0,2.0,0.0,6.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0
EVERETT,3.0,8.0,1.0,234.0,1.0,108.0,76.0,113.0,242.0,72.0,8.0,97.0,57.0,104.0,20.0,72.0,25.0,85.0,10.0,0.0,29.0,0.0,2.0,8.0,36.0,22.0,22.0,17.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1488.0
FRAMINGHAM,65.0,2.0,2.0,324.0,0.0,188.0,285.0,130.0,334.0,9.0,0.0,178.0,79.0,112.0,17.0,62.0,0.0,37.0,17.0,1.0,42.0,0.0,0.0,50.0,18.0,0.0,0.0,18.0,1.0,3.0,0.0,0.0,5.0,0.0,0.0,20.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,2011.0
GROTON,12.0,1.0,1.0,17.0,0.0,6.0,8.0,5.0,19.0,2.0,0.0,6.0,4.0,3.0,0.0,1.0,4.0,6.0,0.0,1.0,5.0,0.0,1.0,3.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0
HOLLISTON,3.0,1.0,1.0,23.0,1.0,4.0,14.0,5.0,10.0,2.0,0.0,11.0,7.0,6.0,3.0,0.0,6.0,1.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0
HUDSON,7.0,2.0,1.0,33.0,0.0,6.0,28.0,6.0,14.0,13.0,0.0,32.0,9.0,33.0,0.0,0.0,16.0,6.0,2.0,2.0,13.0,4.0,2.0,10.0,3.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252.0
LEXINGTON,1.0,0.0,0.0,62.0,1.0,24.0,18.0,24.0,24.0,10.0,0.0,6.0,1.0,3.0,0.0,1.0,20.0,8.0,5.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222.0
LITTLETON,11.0,0.0,1.0,30.0,1.0,6.0,28.0,6.0,22.0,5.0,1.0,7.0,13.0,6.0,4.0,2.0,13.0,3.0,4.0,0.0,9.0,0.0,1.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183.0
LOWELL,65.0,23.0,7.0,473.0,129.0,281.0,1320.0,350.0,751.0,189.0,32.0,190.0,247.0,230.0,109.0,225.0,112.0,126.0,23.0,2.0,57.0,1.0,15.0,48.0,106.0,0.0,0.0,22.0,12.0,0.0,4.0,1.0,15.0,6.0,3.0,3.0,5.0,0.0,0.0,1.0,1.0,10.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,5197.0
MARLBOROUGH,65.0,17.0,3.0,243.0,2.0,54.0,228.0,57.0,173.0,60.0,0.0,104.0,30.0,53.0,19.0,27.0,118.0,16.0,11.0,11.0,43.0,13.0,1.0,29.0,17.0,1.0,0.0,21.0,3.0,0.0,0.0,1.0,2.0,0.0,3.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1431.0
MAYNARD,7.0,1.0,4.0,23.0,0.0,4.0,26.0,6.0,31.0,9.0,0.0,17.0,3.0,2.0,2.0,4.0,11.0,3.0,1.0,1.0,16.0,0.0,1.0,7.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183.0
MELROSE,8.0,3.0,0.0,76.0,1.0,22.0,54.0,22.0,83.0,10.0,1.0,11.0,9.0,3.0,1.0,10.0,20.0,1.0,7.0,0.0,15.0,0.0,0.0,8.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,371.0
NATICK,24.0,6.0,8.0,198.0,4.0,47.0,96.0,28.0,118.0,31.0,0.0,35.0,11.0,88.0,5.0,10.0,53.0,20.0,12.0,3.0,83.0,10.0,8.0,13.0,1.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,931.0
NEWTON,6.0,11.0,1.0,156.0,12.0,167.0,109.0,74.0,105.0,43.0,21.0,44.0,22.0,105.0,10.0,16.0,84.0,44.0,13.0,1.0,104.0,0.0,9.0,28.0,5.0,0.0,34.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,3.0,0.0,5.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1245.0
NORTH READING,4.0,0.0,1.0,12.0,0.0,15.0,19.0,6.0,14.0,10.0,0.0,11.0,8.0,3.0,2.0,3.0,9.0,4.0,6.0,0.0,7.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.0
PEPPERELL,13.0,0.0,1.0,21.0,0.0,3.0,19.0,3.0,23.0,15.0,0.0,8.0,8.0,3.0,2.0,4.0,21.0,3.0,2.0,0.0,6.0,1.0,1.0,6.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167.0
SHERBORN,24.0,0.0,0.0,13.0,0.0,3.0,2.0,3.0,5.0,6.0,0.0,3.0,4.0,0.0,0.0,1.0,5.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0
SHIRLEY,4.0,0.0,2.0,15.0,0.0,0.0,5.0,7.0,8.0,3.0,2.0,8.0,5.0,0.0,2.0,7.0,3.0,2.0,0.0,1.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0
SOMERVILLE,1.0,28.0,1.0,407.0,2.0,147.0,198.0,160.0,207.0,28.0,0.0,112.0,77.0,119.0,43.0,110.0,125.0,48.0,0.0,2.0,85.0,0.0,1.0,38.0,43.0,0.0,0.0,21.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,41.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2053.0
STONEHAM,32.0,5.0,1.0,93.0,0.0,0.0,59.0,68.0,51.0,15.0,0.0,25.0,17.0,77.0,5.0,9.0,53.0,2.0,18.0,1.0,8.0,0.0,0.0,6.0,2.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,552.0
STOW,6.0,1.0,0.0,13.0,0.0,0.0,10.0,12.0,20.0,1.0,0.0,4.0,2.0,0.0,3.0,4.0,7.0,7.0,3.0,2.0,7.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0
SUDBURY,42.0,3.0,5.0,34.0,0.0,8.0,17.0,3.0,29.0,13.0,0.0,14.0,5.0,4.0,1.0,3.0,16.0,5.0,3.0,1.0,18.0,1.0,0.0,6.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245.0
TEWKSBURY,37.0,2.0,1.0,128.0,0.0,37.0,149.0,33.0,120.0,37.0,0.0,47.0,99.0,92.0,10.0,20.0,87.0,13.0,23.0,7.0,47.0,3.0,3.0,11.0,7.0,0.0,0.0,17.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1041.0
TOWNSEND,5.0,1.0,4.0,31.0,0.0,1.0,13.0,14.0,19.0,8.0,0.0,5.0,13.0,1.0,3.0,5.0,7.0,4.0,2.0,2.0,6.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.0
TYNGSBOROUGH,7.0,0.0,1.0,23.0,0.0,11.0,32.0,8.0,58.0,21.0,0.0,14.0,45.0,0.0,6.0,9.0,7.0,3.0,3.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,257.0
WAKEFIELD,67.0,3.0,2.0,106.0,0.0,61.0,68.0,15.0,74.0,18.0,0.0,24.0,58.0,11.0,5.0,8.0,43.0,8.0,7.0,4.0,16.0,2.0,2.0,13.0,5.0,0.0,1.0,10.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,637.0
WATERTOWN,37.0,5.0,0.0,50.0,9.0,40.0,89.0,38.0,63.0,30.0,16.0,15.0,21.0,72.0,6.0,15.0,52.0,20.0,2.0,0.0,62.0,2.0,0.0,13.0,3.0,0.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,676.0
WESTFORD,11.0,0.0,3.0,39.0,0.0,3.0,22.0,10.0,33.0,8.0,0.0,9.0,25.0,1.0,5.0,0.0,12.0,3.0,10.0,1.0,11.0,0.0,1.0,7.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.0
WESTON,3.0,0.0,1.0,20.0,0.0,12.0,6.0,4.0,11.0,2.0,0.0,2.0,7.0,0.0,1.0,2.0,6.0,2.0,2.0,4.0,11.0,0.0,0.0,8.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0
WILMINGTON,19.0,0.0,0.0,68.0,0.0,7.0,49.0,16.0,49.0,14.0,0.0,17.0,17.0,15.0,4.0,10.0,33.0,9.0,6.0,2.0,16.0,0.0,3.0,13.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,374.0
WOBURN,54.0,2.0,0.0,132.0,6.0,73.0,108.0,36.0,155.0,6.0,2.0,29.0,63.0,77.0,12.0,32.0,75.0,27.0,22.0,3.0,36.0,3.0,1.0,16.0,8.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,3.0,0.0,1.0,6.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1004.0
NANTUCKET,1.0,5.0,1.0,122.0,0.0,32.0,58.0,21.0,171.0,3.0,4.0,25.0,25.0,11.0,1.0,10.0,11.0,10.0,1.0,4.0,32.0,0.0,0.0,4.0,1.0,3.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,566.0
BELLINGHAM,16.0,5.0,4.0,123.0,1.0,14.0,52.0,18.0,62.0,23.0,0.0,11.0,29.0,79.0,4.0,8.0,29.0,8.0,6.0,1.0,21.0,2.0,7.0,13.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,544.0
BRAINTREE,1.0,0.0,1.0,35.0,11.0,52.0,138.0,50.0,27.0,18.0,94.0,38.0,65.0,248.0,13.0,29.0,2.0,53.0,1.0,1.0,50.0,0.0,0.0,11.0,8.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,968.0
